별점, 내용, 날짜, 좋아요, 싫어요
2, '다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외...', '2021.03.27', 9, 1
2, '기대를 너무 많이하고 봐서 그런지 아쉬웠어요. 초반 설정 빼고는 뒤로 갈수록 너무 지루하고 감독의 메세지도 전 잘 모르겠어요 ㅠㅠ 한예리씨 팬인데도 불구하고 연기도 아쉬웠고 윤여정님은 가지고 있는 매력을 1도 못보...', '2021.03.22', 9, 1
1, '궁금해서 개봉하자 마자 봤습니다.  자연은아름답고 넓지만 미국이민 시골생활 많이 힘들었겠어요', '2021.05.02', 10, 2
1, '최악의 영화. 이런 영화가 단지 한국어 영화란 이유만으로 국제무대에 조명 받는 것이 쪽팔리며 오히려 조롱받는 기분이다. 오늘 영화관에 가서 봤는데 정말 지루하고 아무것도 아닌 이야기를 마치 대단한 스토리인 양 감독...', '2021.05.02', 10, 2
1, '개 쓰레기같은 영화언론플레이에 완전 속았음이것도 영화라고 만들었냐', '2021.05.02', 10, 2
1, '서양인들은 이걸 보면서 어떤 감동을 느낀 걸까요 미나리 즐겨먹는 김치맨은 이 영화의 가치를 전혀 모르겠네요', '2021.04.27', 10, 2
1, '개노잼 수면제 영화윤여정 연기는 잘하는데 무슨 상을 휩쓸만한 그정도는 아닌듯', '2021.03.22', 10, 2
1, '솔직히 재미도없고 감동도없고...왜 상탓는지 의문이들정도...', '2021.03.21', 10, 2
1, '데치기만 한 아무 양념도 없는 미나리 나물. 어떤 감동도 느껴지지 않았다.', '2021.03.21', 10, 2
1, '평점보고 속아서 봤는데 정말 실망했네요 감동포인트도 없고 결말도 이상하고 중간중간 똥개그 없었으면 무표정으로 끝까지 봤을듯하네요', '2021.03.07', 13, 5
1, '전 너무너무 공감이 안됐어요', '2021.03.07', 13, 5
1, '지루하고별로네용....노재무', '2021.03.07', 13, 5
1, '재미 진짜 없음 이 여섯 글자도 아까움', '2021.04.28', 14, 6
6, '무엇을 말하려는건지 그냥 평범할 남의 일상을 돈내고 보는 낭비', '2021.03.20', 14, 6
1, '한줄평 첨 써봅니다. 휴', '2021.03.11', 14, 6
1, '미나리는 미국영화이고 미국인 브래드 피트가 제작자이고 미국인이 감독인 영화다. 그 영화에 한국인 여배우가 등장을 했다. 한국인이 제작자였고 한국인이 감독이고 제작비가 20억이었다면? 작년에 심은경은 아카데미에서 주연...', '2021.03.06', 14, 6
2, '기대가 너무 컷는지  너무  기대이하입니다', '2021.03.30', 16, 8
6, '가장 큰 문제는 스티븐 연이 연기를 잘 못한다.이다.', '2021.03.06', 16, 8
2, '보는 내내 짜증난건 나만 그런가...', '2021.03.04', 16, 8
1, '무얼 연출하고싶은지 몰르겟어요결말도 어이없고..', '2021.03.23', 18, 10
9, '난해했습니다. 해석이 어려워요', '2021.03.03', 27, 19
7, '이게 왜 상을 받은건지 모르겠다. 2배속으로 보고 싶어질 정도로 한장면 한장면이 늘어지는게... 지루하다는 느낌', '2021.05.01', 7, 0
10, '...이게뭘까....되게 어색한 다큐를 보는데 별 내용도 없더라..', '2021.05.05', 8, 1
1, '모두들 연기가 넘 좋았습니다.', '2021.04.30', 8, 1
2, '저는 한예리와 꼬마 아들 연기가 인상깊었어요. 윤여정 연기는 사실 계속 봐왔던 모습이라 안정감이 있었죠. 개인적으로는 노예 12년을 보는 듯한 느낌을 받았어요.', '2021.04.26', 8, 1
1, '다 잃고도 다시 시작하는 모든사람들에게 응원의 박수를 보내고싶은 뭉클한 이야기', '2021.03.13', 8, 1
1, '', '2021.05.17', 9, 2
